,YEAR_invest,STOCK_TECHNO,AREA,CmaxInvest_Dvar
0,2040,Salt cavern,Marseille,0.0
1,2040,Salt cavern,Nice,0.0
2,2040,Salt cavern,Alpin,0.0
3,2040,Battery,Marseille,0.0
4,2040,Battery,Nice,0.0
5,2040,Battery,Alpin,0.0
6,2020,Salt cavern,Marseille,0.0
7,2020,Salt cavern,Nice,0.0
8,2020,Salt cavern,Alpin,0.0
9,2020,Battery,Marseille,0.0
10,2020,Battery,Nice,0.0
11,2020,Battery,Alpin,0.0
12,2030,Salt cavern,Marseille,0.0
13,2030,Salt cavern,Nice,0.0
14,2030,Salt cavern,Alpin,0.0
15,2030,Battery,Marseille,0.0
16,2030,Battery,Nice,0.0
17,2030,Battery,Alpin,0.0
